canonical_index,canonical_id,arcana,suit,rank,title,primary_uid,primary_source_rel,primary_source_paths,source_filename_number,identity_evidence,mapping_confidence,artwork_state,qa_verdict,recommended_action,alternate_uids,notes
0,CORE_00,Core Arcana,,0,The Seeker,U036,Islamic_Contemplative_Deck_Cards_00_XII\Card_00_The_Seeker.png,Islamic_Contemplative_Deck_Cards_00_XII\Card_00_The_Seeker.png,0,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 0.
1,CORE_01,Core Arcana,,I,The Instructor,U037,Islamic_Contemplative_Deck_Cards_00_XII\Card_01_The_Instructor.png,Islamic_Contemplative_Deck_Cards_00_XII\Card_01_The_Instructor.png,1,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 1.
2,CORE_02,Core Arcana,,II,The Hidden Gate,U038,Islamic_Contemplative_Deck_Cards_00_XII\Card_02_The_Hidden_Gate.png,Islamic_Contemplative_Deck_Cards_00_XII\Card_02_The_Hidden_Gate.png,2,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 2.
3,CORE_03,Core Arcana,,III,The Garden,U039,Islamic_Contemplative_Deck_Cards_00_XII\Card_03_The_Garden.png,Islamic_Contemplative_Deck_Cards_00_XII\Card_03_The_Garden.png,3,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 3.
4,CORE_04,Core Arcana,,IV,The Steward,U040,Islamic_Contemplative_Deck_Cards_00_XII\Card_04_The_Steward.png,Islamic_Contemplative_Deck_Cards_00_XII\Card_04_The_Steward.png,4,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 4.
5,CORE_05,Core Arcana,,V,The Teacher,U041,Islamic_Contemplative_Deck_Cards_00_XII\Card_05_The_Teacher.png,Islamic_Contemplative_Deck_Cards_00_XII\Card_05_The_Teacher.png,5,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 5.
6,CORE_06,Core Arcana,,VI,The Covenant,U042,Islamic_Contemplative_Deck_Cards_00_XII\Card_06_The_Covenant.png,Islamic_Contemplative_Deck_Cards_00_XII\Card_06_The_Covenant.png,6,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 6.
7,CORE_07,Core Arcana,,VII,The Voyager,U043,Islamic_Contemplative_Deck_Cards_00_XII\Card_07_The_Voyager.png,Islamic_Contemplative_Deck_Cards_00_XII\Card_07_The_Voyager.png,7,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 7.
8,CORE_08,Core Arcana,,VIII,The Forbearance,U044,Islamic_Contemplative_Deck_Cards_00_XII\Card_08_The_Forbearance.png,Islamic_Contemplative_Deck_Cards_00_XII\Card_08_The_Forbearance.png,8,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 8.
9,CORE_09,Core Arcana,,IX,The Retreat,U045,Islamic_Contemplative_Deck_Cards_00_XII\Card_09_The_Retreat.png,Islamic_Contemplative_Deck_Cards_00_XII\Card_09_The_Retreat.png,9,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 9.
10,CORE_10,Core Arcana,,X,The Wheel of Decree,U046,Islamic_Contemplative_Deck_Cards_00_XII\Card_10_The_Wheel_of_Decree.png,Islamic_Contemplative_Deck_Cards_00_XII\Card_10_The_Wheel_of_Decree.png,10,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 10.
11,CORE_11,Core Arcana,,XI,The Equity,U047,Islamic_Contemplative_Deck_Cards_00_XII\Card_11_The_Equity.png,Islamic_Contemplative_Deck_Cards_00_XII\Card_11_The_Equity.png,11,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 11.
12,CORE_12,Core Arcana,,XII,The Surrender,U048,Islamic_Contemplative_Deck_Cards_00_XII\Card_12_The_Surrender.png,Islamic_Contemplative_Deck_Cards_00_XII\Card_12_The_Surrender.png,12,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 12.
